# Constructed from biom file
#OTU ID	PV22	PV41	PV30	HV7	HV4	HV23	HV9	PV32	HV8	PV46	HV34	PV55	PV37	HV17	PV52	HV10	HV26	HV54	PV63
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__	0.0	0.0	0.0	6.25782227785e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.25782227785e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.000312891113892
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.000125156445557	0.0	6.25782227785e-05	6.25782227785e-05	0.0	0.0	6.25782227785e-05	0.0	0.0	0.0	0.0	6.25782227785e-05	0.0	0.0	0.0	0.000125156445557	0.0	0.0	0.000250312891114
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__	0.0	6.25782227785e-05	0.0	0.0	6.25782227785e-05	0.0	0.0	0.0	0.0	0.000125156445557	0.0	0.0	6.25782227785e-05	6.25782227785e-05	0.0	0.0	0.0	0.0	0.000125156445557
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	0.0	0.0	0.0	0.0	6.25782227785e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.25782227785e-05
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7;g__	0.0145181476846	0.0100750938673	0.00556946182728	0.0122027534418	0.00337922403004	0.00463078848561	0.00844806007509	0.00982478097622	0.0058197747184	0.011013767209	0.00312891113892	0.0126408010013	0.00168961201502	0.000563204005006	0.0117647058824	0.00419274092616	0.000688360450563	0.00994993742178	0.0188986232791
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Barnesiellaceae];g__	0.0	6.25782227785e-05	0.0	0.0	0.000125156445557	0.0	0.0	0.0	6.25782227785e-05	0.000125156445557	0.0	0.0	0.0	0.0	6.25782227785e-05	0.0	6.25782227785e-05	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Butyricimonas	0.0	0.0	0.0	0.0	6.25782227785e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.25782227785e-05	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Odoribacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000125156445557	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.25782227785e-05
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__Paraprevotella	0.0	6.25782227785e-05	0.0	0.0	6.25782227785e-05	0.0	6.25782227785e-05	0.000250312891114	0.0	0.0	0.0	0.0	0.0	0.0	0.000375469336671	6.25782227785e-05	0.000125156445557	0.0	0.000312891113892
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__[Prevotella]	0.000125156445557	0.000125156445557	0.0	6.25782227785e-05	0.0	0.0	6.25782227785e-05	0.000187734668335	0.000125156445557	0.000125156445557	0.000438047559449	0.000438047559449	6.25782227785e-05	0.0	0.000125156445557	0.000688360450563	0.0	0.000187734668335	0.0026282853567
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae];g__Chryseobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.25782227785e-05	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__Sediminibacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.25782227785e-05	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2;f__;g__	0.0	6.25782227785e-05	0.0	0.000125156445557	6.25782227785e-05	0.0	0.0	0.0	0.0	0.0	0.000250312891114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta;f__;g__	6.25782227785e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.25782227785e-05	0.0
k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae;o__Chroococcales;f__Xenococcaceae;g__	0.0	0.0	0.0	0.0	0.0	0.0	6.25782227785e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales;f__Deferribacteraceae;g__Mucispirillum	6.25782227785e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.25782227785e-05	0.0	6.25782227785e-05	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.25782227785e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus	0.0	0.0	0.0	0.0	0.0	0.0	6.25782227785e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus	0.0	6.25782227785e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.25782227785e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__	0.0	0.0	0.0	6.25782227785e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Aerococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.25782227785e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
